Time,PPM,Temperature
2015-10-15 14:00:01,209.000000,43.500000
2015-10-15 13:00:01,209.000000,34.400002
2015-10-15 12:00:00,210.000000,43.500000
2015-10-15 11:00:01,210.000000,34.099998
2015-10-15 10:00:00,211.000000,43.599998
2015-10-15 09:00:01,211.000000,34.099998
2015-10-15 08:00:00,212.000000,43.299999
2015-10-15 07:00:01,212.000000,34.200001
2015-10-15 06:00:00,212.000000,43.099998
2015-10-15 05:00:01,213.000000,34.299999
2015-10-15 04:00:00,213.000000,43.099998
2015-10-15 03:00:01,213.000000,34.200001
2015-10-15 02:00:00,214.000000,43.200001
2015-10-15 01:00:01,214.000000,34.299999
2015-10-15 00:00:00,215.000000,43.299999
2015-10-14 23:00:01,215.000000,34.099998
2015-10-14 22:00:01,216.000000,43.400002
2015-10-14 21:00:01,217.000000,34.400002
2015-10-14 20:00:01,217.000000,43.500000
2015-10-14 19:00:00,217.000000,34.500000
2015-10-14 18:00:01,218.000000,43.599998
2015-10-14 17:00:00,218.000000,34.200001
2015-10-14 16:00:00,219.000000,43.500000
2015-10-14 15:00:00,219.000000,35.099998
2015-10-14 14:00:00,220.000000,43.400002
2015-10-14 13:00:00,221.000000,34.299999
2015-10-14 12:00:01,222.000000,43.500000
2015-10-14 11:00:00,222.000000,34.400002
2015-10-14 10:00:01,223.000000,43.299999
2015-10-14 09:00:00,224.000000,33.799999
2015-10-14 08:00:00,224.000000,43.200001
2015-10-14 07:00:00,225.000000,34.000000
2015-10-14 06:00:00,226.000000,43.099998
2015-10-14 05:00:01,226.000000,34.200001
2015-10-14 04:00:01,227.000000,42.900002
2015-10-14 03:00:00,227.000000,34.200001
2015-10-14 02:00:00,228.000000,43.200001
2015-10-14 01:00:01,229.000000,34.099998
2015-10-14 00:00:01,229.000000,43.299999
2015-10-13 23:00:01,230.000000,34.000000
2015-10-13 22:00:01,231.000000,43.500000
2015-10-13 21:00:00,231.000000,33.700001
2015-10-13 20:00:01,231.000000,43.500000
2015-10-13 19:00:01,232.000000,34.500000
2015-10-13 18:00:01,232.000000,43.200001
2015-10-13 17:00:00,232.000000,34.500000
2015-10-13 16:00:01,233.000000,43.500000
2015-10-13 15:00:00,233.000000,34.200001
2015-10-13 14:00:00,234.000000,43.500000
2015-10-13 13:00:00,235.000000,34.299999
2015-10-13 12:00:01,236.000000,43.500000
2015-10-13 11:00:00,237.000000,34.500000
2015-10-13 10:00:00,238.000000,43.200001
2015-10-13 09:00:00,239.000000,34.000000
2015-10-13 08:00:01,240.000000,43.200001
2015-10-13 07:00:00,241.000000,34.099998
2015-10-13 06:00:00,242.000000,43.099998
2015-10-13 05:00:00,243.000000,34.200001
2015-10-13 04:00:01,244.000000,43.099998
2015-10-13 03:00:01,245.000000,34.200001
2015-10-13 02:00:01,246.000000,43.400002
2015-10-13 01:00:00,246.000000,34.099998
2015-10-13 00:00:00,248.000000,43.099998
2015-10-12 23:00:00,249.000000,33.900002
