ZHYDROGEN,ZOXYGEN,ZNITROGEN,ZMETHANE,ZCARBON_MONOXIDE,ZETHANE,ZCARBON_DIOXIDE,ZETHYLENE,ZACETYLENE
2,560,73189,14,46,20,5223,10,0
0,4747,86812,5,75,3,4795,3,0
2,153,68800,13,36,12,6370,6,0
0,590,80800,12,43,13,7450,7,0
0,1890,97700,18,116,9,6020,3,0
0,448,83162,15,37,22,6101,12,0
0,1380,114000,18,123,10,8650,14,0
0,320,80300,14,47,15,7970,8,0
0,2330,95500,17,81,9,5730,9,0
3,6320,113000,19,95,9,6450,8,0
4,931,93600,18,93,9,6140,9,0
3,2145,23926,14,35,14,7136,9,0
0,2116,65812,13,39,14,6886,10,0
54,3800,62200,487,1030,152,3400,398,0
45,1040,57416,401,919,182,5099,476,0
35,14733,65420,317,395,147,1682,352,0
56,11400,59000,478,966,131,2770,345,0
39,10400,64000,572,1010,172,3290,446,0
42,8820,62600,541,973,161,3050,416,0
57,11100,66400,569,943,192,2780,475,0
54,8790,58700,635,1020,199,2590,545,0
65,8780,66700,780,1160,299,3290,774,0
43,8117,56937,578,753,239,2089,607,0
71,14700,87700,691,1240,222,4220,561,0
58,3979,56768,686,1032,289,5067,800,0
0,3210,10700,4,14,6,128,10,1
34,10500,74600,957,1130,554,5410,1060,0
42,5410,16900,148,47,62,507,134,0
34,5070,24400,145,112,65,779,136,1
25,4310,33900,148,279,79,1840,169,1
23,5670,32500,166,324,80,1660,158,0
17,7314,43789,96,252,50,1088,120,1
45,9000,77100,962,1100,553,5390,1050,0
131,5781,53480,742,945,325,5105,785,0
47,7720,60200,414,1060,132,2890,333,0
18,8720,67500,277,1190,88,3200,205,0
60,8150,57500,353,1060,110,3190,284,0
48,14211,84943,612,694,281,2371,658,0
37,3008,62528,648,1071,363,5030,760,0
78,4971,38508,302,506,158,1834,344,0
129,7030,61800,1180,941,490,5140,1270,0
108,6570,67700,1210,1040,652,5940,1340,0
77,5910,61500,1230,1060,614,5580,1350,0
76,3007,54214,359,654,195,2447,387,0
17,8164,35437,585,749,336,3020,791,0
28,6450,64300,585,908,288,5150,704,0
50,51541,204555,281,536,188,2096,413,0
13,2025,19778,785,827,386,3009,735,0
31,7381,29300,597,705,344,2261,826,0
3,2946,18975,324,837,917,5908,1399,0
22,1653,19158,678,882,619,4326,1119,0
20,4895,17869,513,597,485,3152,879,0
20,3461,71942,631,756,491,3386,914,0
72,4614,53520,948,780,712,4591,1416,0
78,3558,70220,1160,1221,445,2460,1331,1
70,3800,69000,981,1130,623,5440,1210,1
54,6430,66500,984,1090,633,5210,1210,0
